iter	Passed	Remaining
583	6868	3716
584	6880	3704
585	6891	3692
586	6902	3680
587	6915	3669
588	6926	3657
589	6938	3645
590	6950	3633
591	6961	3622
592	6973	3610
593	6985	3598
594	6996	3586
595	7007	3574
596	7018	3562
597	7030	3550
598	7042	3538
599	7055	3527
600	7067	3516
601	7079	3504
602	7091	3492
603	7103	3481
604	7115	3469
605	7127	3457
606	7138	3445
607	7150	3434
608	7162	3422
609	7174	3410
610	7186	3399
611	7198	3387
612	7210	3376
613	7222	3364
614	7235	3353
615	7247	3341
616	7259	3329
617	7271	3318
618	7284	3306
619	7296	3295
620	7308	3283
621	7322	3272
622	7334	3261
623	7345	3248
624	7357	3237
625	7368	3225
626	7379	3213
627	7391	3201
628	7403	3189
629	7415	3178
630	7428	3166
631	7441	3155
632	7454	3144
633	7466	3132
634	7478	3120
635	7489	3108
636	7499	3096
637	7511	3084
638	7523	3073
639	7535	3061
640	7547	3049
641	7558	3037
642	7569	3025
643	7580	3013
644	7591	3001
645	7605	2990
646	7615	2978
647	7628	2966
648	7638	2954
649	7650	2942
650	7661	2930
651	7674	2919
652	7686	2907
653	7699	2896
654	7710	2883
655	7722	2872
656	7732	2860
657	7745	2848
658	7757	2836
659	7769	2825
660	7781	2813
661	7793	2802
662	7805	2790
663	7816	2778
664	7828	2766
665	7838	2754
666	7849	2742
667	7862	2730
668	7872	2718
669	7885	2706
670	7897	2695
671	7908	2683
672	7921	2671
673	7932	2659
674	7944	2648
675	7955	2636
676	7967	2624
677	7981	2613
678	7993	2601
679	8005	2590
680	8017	2578
681	8030	2566
682	8041	2555
683	8053	2543
684	8064	2531
685	8074	2519
686	8085	2506
687	8098	2495
688	8111	2483
689	8125	2472
690	8137	2461
691	8150	2449
692	8163	2438
693	8175	2426
694	8185	2414
695	8196	2402
696	8208	2390
697	8219	2378
698	8230	2366
699	8242	2355
700	8253	2343
701	8265	2331
702	8277	2319
703	8288	2307
704	8300	2295
705	8311	2283
706	8322	2272
707	8335	2260
708	8347	2248
709	8359	2237
710	8370	2225
711	8382	2213
712	8393	2201
713	8404	2189
714	8417	2177
715	8430	2166
716	8444	2155
717	8455	2143
718	8466	2131
719	8478	2119
720	8490	2107
721	8501	2095
722	8512	2083
723	8524	2072
724	8534	2060
725	8546	2048
726	8559	2036
727	8570	2024
728	8581	2012
729	8593	2001
730	8604	1989
731	8617	1977
732	8628	1965
733	8640	1954
734	8651	1942
735	8661	1930
736	8672	1918
737	8683	1906
738	8695	1894
739	8707	1882
740	8719	1871
741	8731	1859
742	8743	1847
743	8754	1835
744	8765	1823
745	8776	1811
746	8788	1799
747	8799	1788
748	8811	1776
749	8823	1764
750	8836	1753
751	8848	1741
752	8860	1729
753	8873	1718
754	8884	1706
755	8896	1694
756	8908	1682
757	8920	1671
758	8932	1659
759	8944	1647
760	8955	1635
761	8965	1623
762	8978	1612
763	8991	1600
764	9002	1588
765	9015	1577
766	9025	1565
767	9036	1553
768	9048	1541
769	9060	1529
770	9073	1518
771	9084	1506
772	9097	1494
773	9109	1482
774	9120	1471
775	9131	1459
776	9143	1447
777	9154	1435
778	9166	1423
779	9177	1411
780	9189	1400
781	9200	1388
782	9211	1376
783	9222	1364
784	9234	1352
785	9245	1340
786	9256	1329
787	9268	1317
788	9279	1305
789	9290	1293
790	9302	1281
791	9313	1270
792	9325	1258
793	9337	1246
794	9348	1234
795	9360	1223
796	9373	1211
797	9384	1199
798	9396	1187
799	9407	1175
800	9419	1164
801	9432	1152
802	9444	1140
803	9455	1129
804	9466	1117
805	9478	1105
806	9491	1093
807	9503	1082
808	9514	1070
809	9525	1058
810	9536	1046
811	9548	1034
812	9559	1022
813	9571	1011
814	9582	999
815	9593	987
816	9604	975
817	9614	963
818	9625	951
819	9637	940
820	9649	928
821	9660	916
822	9671	904
823	9682	893
824	9694	881
825	9706	869
826	9716	857
827	9727	845
828	9741	834
829	9754	822
830	9766	810
831	9778	799
832	9788	787
833	9799	775
834	9811	763
835	9823	752
836	9835	740
837	9847	728
838	9859	716
839	9871	705
840	9881	693
841	9893	681
842	9904	669
843	9916	657
844	9928	646
845	9941	634
846	9953	622
847	9965	611
848	9976	599
849	9987	587
850	9998	575
851	10009	563
852	10021	552
853	10033	540
854	10044	528
855	10056	516
856	10068	505
857	10078	493
858	10090	481
859	10103	469
860	10116	458
861	10127	446
862	10138	434
863	10149	422
864	10160	411
865	10174	399
866	10185	387
867	10196	375
868	10208	364
869	10220	352
870	10232	340
871	10243	328
872	10254	317
873	10267	305
874	10278	293
875	10291	281
876	10302	270
877	10314	258
878	10327	246
879	10338	234
880	10350	223
881	10363	211
882	10374	199
883	10386	187
884	10398	176
885	10409	164
886	10423	152
887	10434	141
888	10447	129
889	10459	117
890	10470	105
891	10480	93
892	10492	82
893	10504	70
894	10516	58
895	10526	46
896	10537	35
897	10549	23
898	10560	11
899	10573	0
