city,segment_id,time_bucket,timestamp,currentSpeed,freeFlowSpeed,jamFactor,confidence,lat,lon,source,provider,segment_name,weather_cell_id,roadClosure,date,dedup_records_collapsed,dedup_duplicate_key_rows
hanoi,HN_001,2026-05-14 14:30:00,2026-05-14 14:32:58.671523,26.0,36.0,2.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 14:35:00,2026-05-14 14:38:03.932612,25.0,36.0,3.06,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 14:40:00,2026-05-14 14:43:09.018638,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 14:45:00,2026-05-14 14:48:14.654527,27.0,37.0,2.7,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 14:50:00,2026-05-14 14:53:19.800091,26.0,37.0,2.97,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 14:55:00,2026-05-14 14:58:25.023564,26.0,37.0,2.97,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:00:00,2026-05-14 15:03:30.147043,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:05:00,2026-05-14 15:08:37.058555,27.0,37.0,2.7,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:10:00,2026-05-14 15:13:42.355542,26.0,37.0,2.97,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:15:00,2026-05-14 15:18:47.261699,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
