horizon_minutes,column,reason
240,max_accident_severity_1h,constant
240,max_flood_severity_1h,constant
240,max_roadwork_severity_1h,constant
240,degree_centrality,constant
240,betweenness_centrality,constant
240,closeness_centrality,constant
240,degree_centrality_encoded,constant
240,betweenness_centrality_encoded,constant
240,network_importance_score,constant
240,congestion_news_count_1h,constant
240,roadwork_count_24h,constant
240,weather_disruption_count_6h,constant
240,flood_count_6h,constant
240,has_recent_roadwork,constant
240,has_recent_flood,constant
240,has_major_event,constant
240,has_weather_disruption,constant
240,target_speed,metadata_or_non_model_column
240,split,metadata_or_non_model_column
