city,segment_id,time_bucket,timestamp,currentSpeed,freeFlowSpeed,jamFactor,confidence,lat,lon,date,hour_of_day,day_of_week,day_of_month,is_weekend,is_peak_hour,congestion_ratio,speed_lag_1,congestion_lag_1,speed_lag_2,congestion_lag_2,speed_lag_3,congestion_lag_3,speed_lag_4,congestion_lag_4,speed_lag_5,congestion_lag_5,speed_lag_6,congestion_lag_6,speed_lag_7,congestion_lag_7,speed_lag_8,congestion_lag_8,speed_lag_9,congestion_lag_9,speed_lag_10,congestion_lag_10,speed_lag_11,congestion_lag_11,speed_lag_12,congestion_lag_12,speed_trend_1,speed_trend_2,speed_acceleration,speed_rolling_avg_15m,speed_rolling_avg_30m,speed_rolling_avg_60m,congestion_rolling_avg_15m,congestion_rolling_avg_30m,congestion_rolling_avg_60m,speed_volatility_15m,speed_volatility_30m,weather_temperature,weather_humidity,weather_rain_1h,weather_wind_speed,has_rain,weather_severity,has_accident,has_any_event,news_event_count_1h,news_event_count_3h,news_event_count_6h,accident_count_1h,max_event_severity_1h,max_event_severity_6h,avg_traffic_relevance_score_6h,has_recent_accident,target_speed,split
hanoi,HN_005,2026-05-14 13:20:00,2026-05-14 13:21:47.361524,26.0,34.0,2.35,1.0,20.9901,105.833,2026-05-14,13,3,14,0,0,0.23529411764705888,25.0,0.2647058823529411,26.0,0.23529411764705888,26.0,0.23529411764705888,26.0,0.2571428571428571,27.0,0.22857142857142854,25.0,0.2647058823529411,23.0,0.34285714285714286,25.0,0.2647058823529411,25.0,0.2857142857142857,25.0,0.24242424242424243,25.0,0.2647058823529411,25.0,0.2857142857142857,-1.0,0.0,-1.0,25.666666666666668,25.833333333333332,25.25,0.2450980392156863,0.24761904761904763,0.2643196672608437,0.5773502691896258,0.752772652709081,35.585,43.5,0.0,1.0550000000000002,0,0,0,0,0,0,0,0,0,0,0.0,0,23.0,train
hanoi,HN_001,2026-05-14 13:20:00,2026-05-14 13:21:47.361524,27.0,37.0,2.7,1.0,20.9956,105.822,2026-05-14,13,3,14,0,0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,0.0,0.0,0.0,28.0,28.0,27.5,0.2362362362362362,0.23973973973973972,0.24655905905905903,0.0,0.6324555320336759,35.585,43.5,0.0,1.0550000000000002,0,0,0,0,0,0,0,0,0,0,0.0,0,24.0,train
hanoi,HN_002,2026-05-14 13:20:00,2026-05-14 13:21:47.361524,26.0,37.0,2.97,1.0,20.9842,105.8412,2026-05-14,13,3,14,0,0,0.29729729729729726,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2222222222222222,28.0,0.2222222222222222,28.0,0.2222222222222222,25.0,0.3055555555555556,27.0,0.2702702702702703,27.0,0.25,27.0,0.2702702702702703,28.0,0.2222222222222222,0.0,0.0,0.0,28.0,28.0,27.5,0.2362362362362362,0.2292292292292292,0.242992992992993,0.0,0.0,35.585,43.5,0.0,1.0550000000000002,0,0,0,0,0,0,0,0,0,0,0.0,0,26.0,train
hanoi,HN_004,2026-05-14 13:20:00,2026-05-14 13:21:47.361524,23.0,32.0,2.81,1.0,21.0128,105.8156,2026-05-14,13,3,14,0,0,0.28125,25.0,0.21875,24.0,0.25,25.0,0.21875,23.0,0.28125,27.0,0.15625,26.0,0.1875,22.0,0.3125,23.0,0.28125,32.0,0.0,32.0,0.0,24.0,0.25,24.0,0.25,1.0,-1.0,2.0,24.666666666666668,25.0,25.583333333333332,0.22916666666666666,0.21875,0.20052083333333334,0.5773502691896258,1.4142135623730951,35.585,43.5,0.0,1.0550000000000002,0,0,0,0,0,0,0,0,0,0,0.0,0,23.0,train
hanoi,HN_003,2026-05-14 13:20:00,2026-05-14 13:21:47.361524,29.0,36.0,1.94,1.0,21.0285,105.7934,2026-05-14,13,3,14,0,0,0.19444444444444442,30.0,0.18918918918918914,29.0,0.21621621621621623,29.0,0.21621621621621623,29.0,0.21621621621621623,29.0,0.19444444444444442,29.0,0.21621621621621623,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,27.0,0.2702702702702703,1.0,0.0,1.0,29.333333333333332,29.166666666666668,28.5,0.2072072072072072,0.2080830830830831,0.2279154154154154,0.5773502691896258,0.40824829046386296,35.71,43.0,0.0,1.15,0,0,0,0,0,0,0,0,0,0,0.0,0,27.0,train
hanoi,HN_004,2026-05-14 13:25:00,2026-05-14 13:26:52.199613,24.0,32.0,2.5,1.0,21.0128,105.8156,2026-05-14,13,3,14,0,0,0.25,23.0,0.28125,25.0,0.21875,24.0,0.25,25.0,0.21875,23.0,0.28125,27.0,0.15625,26.0,0.1875,22.0,0.3125,23.0,0.28125,32.0,0.0,32.0,0.0,24.0,0.25,-2.0,1.0,-3.0,24.0,24.5,25.5,0.25,0.234375,0.203125,1.0,1.51657508881031,35.585,43.5,0.0,1.0550000000000002,0,0,0,0,0,0,0,0,0,0,0.0,0,22.0,train
hanoi,HN_005,2026-05-14 13:25:00,2026-05-14 13:26:52.199613,25.0,35.0,2.86,1.0,20.9901,105.833,2026-05-14,13,3,14,0,0,0.2857142857142857,26.0,0.23529411764705888,25.0,0.2647058823529411,26.0,0.23529411764705888,26.0,0.23529411764705888,26.0,0.2571428571428571,27.0,0.22857142857142854,25.0,0.2647058823529411,23.0,0.34285714285714286,25.0,0.2647058823529411,25.0,0.2857142857142857,25.0,0.24242424242424243,25.0,0.2647058823529411,1.0,-1.0,2.0,25.666666666666668,26.0,25.333333333333332,0.2450980392156863,0.24271708683473392,0.2601179865885748,0.5773502691896258,0.6324555320336759,35.585,43.5,0.0,1.0550000000000002,0,0,0,0,0,0,0,0,0,0,0.0,0,25.0,train
hanoi,HN_002,2026-05-14 13:25:00,2026-05-14 13:26:52.199613,28.0,37.0,2.43,1.0,20.9842,105.8412,2026-05-14,13,3,14,0,0,0.2432432432432432,26.0,0.29729729729729726,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2222222222222222,28.0,0.2222222222222222,28.0,0.2222222222222222,25.0,0.3055555555555556,27.0,0.2702702702702703,27.0,0.25,27.0,0.2702702702702703,-2.0,0.0,-2.0,27.333333333333332,27.666666666666668,27.333333333333332,0.25425425425425424,0.2417417417417417,0.2492492492492492,1.1547005383792515,0.816496580927726,35.585,43.5,0.0,1.0550000000000002,0,0,0,0,0,0,0,0,0,0,0.0,0,24.0,train
hanoi,HN_001,2026-05-14 13:25:00,2026-05-14 13:26:52.199613,26.0,36.0,2.78,1.0,20.9956,105.822,2026-05-14,13,3,14,0,0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,-1.0,0.0,-1.0,27.666666666666668,27.666666666666668,27.583333333333332,0.24524524524524524,0.24874874874874872,0.2459334334334334,0.5773502691896258,0.5163977794943222,35.585,43.5,0.0,1.0550000000000002,0,0,0,0,0,0,0,0,0,0,0.0,0,27.0,train
hanoi,HN_003,2026-05-14 13:25:00,2026-05-14 13:26:52.199613,29.0,37.0,2.16,1.0,21.0285,105.7934,2026-05-14,13,3,14,0,0,0.21621621621621623,29.0,0.19444444444444442,30.0,0.18918918918918914,29.0,0.21621621621621623,29.0,0.21621621621621623,29.0,0.21621621621621623,29.0,0.19444444444444442,29.0,0.21621621621621623,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,-1.0,1.0,-2.0,29.333333333333332,29.166666666666668,28.666666666666668,0.19994994994994994,0.20445445445445445,0.22159659659659656,0.5773502691896258,0.40824829046386296,36.309999999999995,41.666666666666664,0.0,1.15,0,0,0,0,0,0,0,0,0,0,0.0,0,27.0,train
