horizon,model,feature,mean_abs_shap
60m,lightgbm,weather_main,0.0003938434358178889
60m,lightgbm,rain_flag,0.00020906350704932917
60m,lightgbm,neighbor_congestion_count,6.507838081061965e-05
60m,lightgbm,has_flood,2.2490490290093287e-05
60m,lightgbm,betweenness_centrality,0.0
60m,lightgbm,degree_centrality,0.0
60m,lightgbm,is_holiday_vn,0.0
60m,lightgbm,is_synthetic,0.0
60m,lightgbm,month,0.0
60m,lightgbm,data_source,0.0
60m,lightgbm,district,0.0
60m,lightgbm,synthetic_generation_method,0.0
240m,lightgbm,free_flow_speed,3.692835327563941
240m,lightgbm,hour_of_day,1.5111233132566761
240m,lightgbm,speed_roll_mean_6,0.5859855880814323
240m,lightgbm,p85_speed,0.5659348399679216
240m,lightgbm,urban_density_score,0.30815502080525925
240m,lightgbm,day_of_week,0.279359990023886
240m,lightgbm,speed_roll_mean_3,0.20932578260691917
240m,lightgbm,temperature,0.1942859838929338
240m,lightgbm,bus_stop_density,0.18754245338178496
240m,lightgbm,is_peak_hour,0.13932158198837172
240m,lightgbm,upstream_avg_jam_factor,0.1060983463269655
240m,lightgbm,baseline_congestion_ratio,0.07948304364838481
240m,lightgbm,downstream_avg_jam_factor,0.07406678452391323
240m,lightgbm,speed_lag_4,0.071885441211494
240m,lightgbm,poi_density,0.06755893847052818
240m,lightgbm,humidity,0.0667383487677461
240m,lightgbm,propagation_risk_score,0.06079260004043908
240m,lightgbm,corridor_name,0.060748305363929285
240m,lightgbm,speed_lag_3,0.055201318875030915
240m,lightgbm,rain_1h,0.05379601804053396
240m,lightgbm,p15_speed,0.05125277742366587
240m,lightgbm,current_speed,0.050042792602206135
240m,lightgbm,speed_vs_p50,0.04594471673221705
240m,lightgbm,jam_factor,0.04513161568763015
240m,lightgbm,is_weekend,0.04269334854375862
240m,lightgbm,p50_speed,0.042447754368085414
240m,lightgbm,speed_roll_std_6,0.04113512952316774
240m,lightgbm,corridor_id,0.04086944074924541
240m,lightgbm,speed_lag_1,0.0406836162951496
240m,lightgbm,congestion_ratio,0.04049751708955379
240m,lightgbm,hospital_density,0.038926071664837
240m,lightgbm,wind_speed,0.03634913098684749
240m,lightgbm,jam_lag_3,0.034867320071846564
240m,lightgbm,jam_lag_4,0.03418333231507658
240m,lightgbm,visibility,0.03357960381523104
240m,lightgbm,jam_roll_mean_3,0.033131663933285545
240m,lightgbm,jam_lag_1,0.030356991230782115
240m,lightgbm,event_distance_km,0.026212616587546214
240m,lightgbm,speed_lag_2,0.026049754607371956
240m,lightgbm,jam_lag_2,0.025844128280195052
240m,lightgbm,school_density,0.02188543635838293
240m,lightgbm,city,0.01201939705439068
240m,lightgbm,speed_confidence,0.010328163960960307
240m,lightgbm,pct_above_p85,0.00825261697815546
240m,lightgbm,event_severity_score,0.007239493747637734
240m,lightgbm,weather_main,0.007027306673532413
240m,lightgbm,pct_below_p15,0.004317809252508817
240m,lightgbm,road_class,0.002341058662914836
240m,lightgbm,neighbor_congestion_count,0.0014991076318009845
240m,lightgbm,has_accident,0.0005681133375300369
240m,lightgbm,has_roadwork,0.0005230290846013295
240m,lightgbm,has_event,0.0003443323717150081
240m,lightgbm,rain_flag,7.07436422105451e-05
240m,lightgbm,betweenness_centrality,0.0
240m,lightgbm,degree_centrality,0.0
240m,lightgbm,has_flood,0.0
240m,lightgbm,is_holiday_vn,0.0
240m,lightgbm,is_synthetic,0.0
240m,lightgbm,month,0.0
240m,lightgbm,data_source,0.0
240m,lightgbm,district,0.0
240m,lightgbm,synthetic_generation_method,0.0
