horizon,model,feature,importance
240m,lightgbm,baseline_congestion_ratio,2417.0
240m,lightgbm,day_of_week,2350.0
240m,lightgbm,jam_lag_1,2303.0
240m,lightgbm,jam_lag_3,2111.0
240m,lightgbm,jam_lag_2,2067.0
240m,lightgbm,speed_lag_1,1931.0
240m,lightgbm,jam_factor,1900.0
240m,lightgbm,speed_lag_2,1851.0
240m,lightgbm,speed_lag_4,1848.0
240m,lightgbm,propagation_risk_score,1847.0
240m,lightgbm,speed_lag_3,1832.0
240m,lightgbm,congestion_ratio,1815.0
240m,lightgbm,jam_roll_mean_3,1758.0
240m,lightgbm,speed_roll_mean_6,1725.0
240m,lightgbm,p15_speed,1611.0
240m,lightgbm,current_speed,1461.0
240m,lightgbm,p85_speed,1396.0
240m,lightgbm,speed_roll_mean_3,1192.0
240m,lightgbm,p50_speed,1135.0
240m,lightgbm,rain_1h,1091.0
240m,lightgbm,visibility,893.0
240m,lightgbm,urban_density_score,708.0
240m,lightgbm,free_flow_speed,662.0
240m,lightgbm,speed_confidence,460.0
240m,lightgbm,corridor_id,436.0
240m,lightgbm,poi_density,400.0
240m,lightgbm,bus_stop_density,282.0
240m,lightgbm,is_peak_hour,264.0
240m,lightgbm,school_density,224.0
240m,lightgbm,hospital_density,134.0
240m,lightgbm,city,133.0
240m,lightgbm,corridor_name,131.0
240m,lightgbm,is_weekend,122.0
240m,lightgbm,pct_below_p15,94.0
240m,lightgbm,pct_above_p85,93.0
240m,lightgbm,event_severity_score,91.0
240m,lightgbm,road_class,51.0
240m,lightgbm,neighbor_congestion_count,27.0
240m,lightgbm,weather_main,27.0
240m,lightgbm,has_accident,6.0
240m,lightgbm,has_roadwork,6.0
240m,lightgbm,has_event,2.0
240m,lightgbm,rain_flag,1.0
240m,lightgbm,betweenness_centrality,0.0
240m,lightgbm,degree_centrality,0.0
240m,lightgbm,has_flood,0.0
240m,lightgbm,is_holiday_vn,0.0
240m,lightgbm,is_synthetic,0.0
240m,lightgbm,month,0.0
240m,lightgbm,data_source,0.0
240m,lightgbm,district,0.0
240m,lightgbm,synthetic_generation_method,0.0
